response_id,task_id,slot,task_version,model,generated_at,date_precision,source,session_id,settings,collector,source_status,imported_at,prompt_sha256,reply_sha256,raw_path,actual_prompt_path
MP01-A,MP01,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/pilot_candidate_mp01_a,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:40:07Z,d089a37d582c91d4c86d00deb44f71532e46d55a351a950d358465f77cb0986b,e65a3c49d83c571346ebcd36d70e305c8a23f5172a44aa4141b5a4c04169163a,04_responses/raw/MP01-A.txt,04_responses/prompts/MP01-A.txt
MP01-B,MP01,B,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/candidate_stream_b,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:40:07Z,d089a37d582c91d4c86d00deb44f71532e46d55a351a950d358465f77cb0986b,775ae62280a215fa2651b2eb1e7c254a08a06639de4d2b888b9a94582a5a98aa,04_responses/raw/MP01-B.txt,04_responses/prompts/MP01-B.txt
MP02-A,MP02,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/pilot_candidate_mp02_a,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:40:07Z,11fcf2ebfa3d4e374b5f9b4e47cf3638c07c623a3d360c5105c296ebd2d59d3b,8c3a476644356c9a9717702195eb1944e4d6f9033fe5243262a3a2014aab67fe,04_responses/raw/MP02-A.txt,04_responses/prompts/MP02-A.txt
MP02-B,MP02,B,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_mp02_b,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:40:07Z,11fcf2ebfa3d4e374b5f9b4e47cf3638c07c623a3d360c5105c296ebd2d59d3b,fa1b8e1125eec22d914e5dc7f3599c5f60227b0b316311bb0dff203d44a69bc5,04_responses/raw/MP02-B.txt,04_responses/prompts/MP02-B.txt
CS01-A,CS01,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_cs01_a_finaldispatch,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:44:15Z,fb120ef28f200348c2bef2d385c7de6806a8cd943feca60183d8fdda0c92f684,f049e2af8b3ce42ee3e509d62026464f2bdf33b6b97b5c5a3d2012a7a4a8b03b,04_responses/raw/CS01-A.txt,04_responses/prompts/CS01-A.txt
CS01-B,CS01,B,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_cs01_b,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:44:15Z,fb120ef28f200348c2bef2d385c7de6806a8cd943feca60183d8fdda0c92f684,d454bfee7f75d95b1ddf70cbdf677cf61fa1e4271544a5a5d870fb4c0c68454a,04_responses/raw/CS01-B.txt,04_responses/prompts/CS01-B.txt
CS02-A,CS02,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_cs02_a,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:44:15Z,fd320d40ff36a5d29cefc48f2229c634f272157cf69c55d14546d8b8801ff688,826d8553913262bef54f90ef74630ac57ac1f44bb8da32da90d75c15b6ac880e,04_responses/raw/CS02-A.txt,04_responses/prompts/CS02-A.txt
CS02-B,CS02,B,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_cs02_b,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:44:15Z,fd320d40ff36a5d29cefc48f2229c634f272157cf69c55d14546d8b8801ff688,81c527e7fce2a80dcdd5006b51f024f4436b2d7a6a833a8e86cf6067582d4e2a,04_responses/raw/CS02-B.txt,04_responses/prompts/CS02-B.txt
RC01-A,RC01,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_rc01_a,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:47:03Z,00fe6092aa91ae97eadab5b0e2990b091cf1a19425fbf18b994d423a0960f83e,dfe9d6ea24ac90eeeef9f86b87b9c64276eeae33f05e5607eb53a17c8e7a1aaf,04_responses/raw/RC01-A.txt,04_responses/prompts/RC01-A.txt
RC01-B,RC01,B,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_rc01_b,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:47:03Z,00fe6092aa91ae97eadab5b0e2990b091cf1a19425fbf18b994d423a0960f83e,78bd644252bd03a39e66b8fe90ab907f4a9b9d83b8120c5ce93088a4adbd4bcb,04_responses/raw/RC01-B.txt,04_responses/prompts/RC01-B.txt
RC02-A,RC02,A,0.1,Codex agent; underlying model identifier not exposed,2026-09-10,date,Fresh Codex child agent; fork_turns none; task-only request,/root/remaining_cs_rc/candidate_rc02_a,Inherited; sampling settings not exposed,Codex (AI),ai_recorded,2026-09-10T15:47:04Z,b61f03474bf6b8b6aa4b8dbfc62d575785ae4eec62015f495eaf3963697b3cc8,425cf5ce0f5d0b8192693ca3154bfc1811c111e40ff311ebc021027c23fd40b0,04_responses/raw/RC02-A.txt,04_responses/prompts/RC02-A.txt
