response_id,task_id,round,rubric_version,reviewer,reviewed_at,annotation_status,accuracy,instruction_following,relevance,completeness,clarity,total,primary_error,secondary_errors,uncertainty_flag,uncertainty_note,material_error,correction_required,rationale,corrected_answer
MP01-A,MP01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
MP01-B,MP01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
MP02-A,MP02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
MP02-B,MP02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
CS01-A,CS01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
CS01-B,CS01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
CS02-A,CS02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
CS02-B,CS02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
RC01-A,RC01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
RC01-B,RC01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
RC02-A,RC02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
RC02-B,RC02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
PR01-A,PR01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
PR01-B,PR01,pilot_initial,0.1,,,,,,,,,,,,,,,,,
PR02-A,PR02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
PR02-B,PR02,pilot_initial,0.1,,,,,,,,,,,,,,,,,
