task_id,reference_version,decision,reviewer,verified_at,notes
MP01,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI recalculation: 600/4 +90+900/6=390s; 1500/390=50/13m/s; multiply3.6=180/13km/h; finalrounding3.85 and13.85. AI verification only; Dominic has not independently checked this key.
MP02,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI derivation check: ideal constant-speed push F=mgh/L halves for twiceL; W=FL=mgh unchanged. Human fatigue unspecified. AI verification only; Dominic has not independently checked this key.
CS01,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI read-check againstP1–P5: day18 eligibleunusedundamaged; cartonnotrequired; £36not£40; postagecustomer; supportauthorizationaddress before return; refundafterinspection. AI verification only; Dominic has not independently checked this key.
CS02,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI read-check againstP1–P4: receiptThu15:30 before16deadline; Sundayunknown; conditionalcancellationnocharge byreceipttime; noactionsconfirmed. AI verification only; Dominic has not independently checked this key.
RC01,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI read-check S1–S6: denominators24registered18everattended12survey; 10useful8laterpreference; caretakerreason; surveydoesnotidentifyattendancecauses. AI verification only; Dominic has not independently checked this key.
RC02,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI read-check S1–S7: lampandnoteexplicit; waitingvisitorqualifiedinference supportedmugs/streetchecks; actualarrivalunknown. Oneunresolvedmatterrequested. AI verification only; Dominic has not independently checked this key.
PR01,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI intervalcheck:09:00–09:20check;09:30–09:40call;09:50–10:00break;10:00–10:30record;10:30–10:45notes satisfiesdurations/windows/nooverlap. AI verification only; Dominic has not independently checked this key.
PR02,0.1,verified,Codex (AI),2026-09-10T15:11:33.757765+00:00,AI constraintcheck: Alder/Birchpass; Cedarfailscapacity8<10; Maplefails90>80; lowerpricevsearlierstartrequirespreference; noactualbooking. AI verification only; Dominic has not independently checked this key.
MP03,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: Original amount is 250 kWh; April's multiplier is 1 − 0.20 = 0.80; May's multiplier is 1 + 0.20 = 1.20. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
MP04,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Group A has 12 participants with mean 8, hence total completion time 96 minutes. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
MP05,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: The prompt defines east as positive, initial velocity +2.0 m/s and final velocity −1.0 m/s. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
MP06,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: Energy A: 12 W × 5 h = 60 Wh; energy B: 8 W × 8 h = 64 Wh. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
MP07,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: Volume multiplication: 6 × 4 × 2.5 = 60 cm³. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
MP08,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Initial counts are four blue and two orange, total six. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
MP09,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Both samples receive the same 4,200 J and have the same supplied specific heat capacity. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
MP10,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: The prompt gives the half-up rule and illustrates the interval for a displayed 10 m. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS03,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] gives the preliminary checks; the customer expressly reports completing both. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS04,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P2] places June's cutoff on 25 May and July's on 25 June; receipt is 26 May. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS05,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] gives seven calendar days; the delivery was three days ago. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS06,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] explicitly includes Friday 10:00 in the full-refund window. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS07,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] defines eligible items and excludes gift cards and delivery from the percentage discount. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS08,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] supplies the entrance options and weekday 09:00–17:00 staffed window; 13:45 is inside it. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS09,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] limits support edits to processing orders; the customer reports dispatched status. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
CS10,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [P1] defines the age rules and accompanying-adult condition. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC03,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S1] gives the January proposal; [S2] gives the February volunteer concern. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC04,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S2] names both Bea and Noor before the ambiguous pronoun in [S3]. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC05,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S1] states the committee's shared aim. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC06,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S1] gives the invited population of 50; [S2] gives 20 respondents and 15 positive usability answers. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC07,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S1] dates the old notice and gives its 11:00/Room A details for 12 October. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
RC08,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: [S1] supplies donation days, location and reference to normal hours; [S6] says exact hours are absent. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
RC09,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: [S1] explicitly gives the brass key, envelope and doorstep location. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
RC10,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: [S2] explicitly retains the riverside route; [S4] reports that the Sunday outing had fourteen registered attendees. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
PR03,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: [C1]–[C5] specify the five activities, their durations, dependencies and fixed windows. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR04,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Original maximum coverage is 1 shift for Asha + 1 shift for Ben = 2, below the required 3. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR05,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Total item mass is 6 + 5 + 4 + 3 + 2 + 2 = 22 kg, within the combined 24 kg capacity but still requiring a feasible distribution. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR06,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Transfer waits in minutes for S1 against T1/T2/T3 are 10, 25 and 45; S2 gives −5, 10 and 30; S3 gives −20, −5 and 15. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR07,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: At 09:00, only J1 and J2 are ready; priority 1 selects J2 over J1's priority 2. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR08,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: The required maxima are inclusive: cost ≤ £100 and mass ≤ 5 kg, plus an included stand and matte surface. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR09,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,"AI reference check before candidate generation: Kit totals: 18×2=36 pencils, 18×3=54 cards, 18×1=18 envelopes. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed."
PR10,0.1,verified,Codex (AI),2026-09-10T15:15:27.297390+00:00,AI reference check before candidate generation: UTC conversion: subtract the stated offset from local time. Luis's UTC−3 times gain 3 hours; Sana's UTC+2 times lose 2 hours. Expected answer independently read against all prompt conditions by coordinator; quantitative derivations/constraints recalculated where applicable. No human verification claimed.
