response_id,task_id,round,rubric_version,reviewer,reviewed_at,annotation_status,accuracy,instruction_following,relevance,completeness,clarity,total,primary_error,secondary_errors,uncertainty_flag,uncertainty_note,material_error,correction_required,rationale,corrected_answer
MP01-A,MP01,pilot_initial,0.1,Codex (AI),2026-09-10T15:42:28+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,Both moving segments are calculated as150s; the90s stop is included in390s. Total1500m dividedby390s gives3.85m/s and the unrounded conversion gives13.85km/h. Working and bothunits are present and clear. No material error or correction is needed.,
MP01-B,MP01,pilot_initial,0.1,Codex (AI),2026-09-10T15:42:28+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The response uses totaldistance1500m and totaltime390s including the stop. Its boxed3.85m/s and13.85km/h are separately rounded from1500/390, avoiding premature conversionrounding. It satisfies the requested working and units; no defect needing correction is identified.",
MP02-A,MP02,pilot_initial,0.1,Codex (AI),2026-09-10T15:42:28+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The equationF=mgh/L correctly halves force for the4m ramp, whileW=FL=mgh keeps work unchanged. Optional power and duration comparisons follow from equal speed. It distinguishes trolley–Earth potentialenergy from constant trolleykineticenergy and does not infer bodilyenergy. The answer is under150words, clear and complete; no correction is needed.",
MP02-B,MP02,pilot_initial,0.1,Codex (AI),2026-09-10T15:42:28+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"Force balanceF=mg(h/L), doubleddistance, andW=mgh correctly distinguish smaller force from unchanged mechanicalenergy. The optional half-power/double-time statement is consistent with equal speed. Fatigue and bodilyenergy are explicitly outside theidealmodel. It remains under150words and needs no correction.",
CS01-A,CS01,pilot_initial,0.1,Codex (AI),2026-09-10T15:44:34+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The reply correctly applies the 30-day window to day18, allows a missing carton with secure packing, and limits the eligible refund to £36. It covers customer-paid return postage, order number and condition photo, support authorisation/address, and five business days after receipt and inspection to the original payment method. At118 words it meets the130-word limit. No unsupported action or correction is needed.",
CS01-B,CS01,pilot_initial,0.1,Codex (AI),2026-09-10T15:44:34+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The answer distinguishes the £36 item refund from the non-refundable £4 delivery charge and correctly assigns return postage to the customer. The missing carton is allowed; the email, photo, authorisation and address steps precede posting. Receipt and inspection qualify the five-business-day refund timing. Its117 words remain within130; the reply is usable without correction.",
CS02-A,CS02,pilot_initial,0.1,Codex (AI),2026-09-10T15:44:34+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"Thursday15:30 precedes the Thursday16:00 deadline for Friday collection. The conditional cancellation therefore has no fee even if processed later. The reply treats Sunday hours and drill availability as unknown, requires checks, and explicitly avoids claiming a completed move or cancellation. All material policy points are present in83 words; no correction is required.",
CS02-B,CS02,pilot_initial,0.1,Codex (AI),2026-09-10T15:44:34+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The reply correctly bases the no-fee fallback cancellation on receipt before16:00, not staff processing time. It explains the missing Sunday hours, the need to check availability, and the absence of a confirmed action. The94-word customer-facing response is clear, relevant and within150 words. No material error or omission needs correction.",
RC01-A,RC01,pilot_initial,0.1,Codex (AI),2026-09-10T15:47:30+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The summary preserves the six-week trial, 24 registrants, 18 people attending at least once, and the survey denominator of 12 with ten useful/eight later-start responses. It explains the caretaker constraint and planned attendance/waiting-list tracking. The summary is within 70 words, followed by a separate justified rejection of a causal attendance claim. No correction is needed.",
RC01-B,RC01,pilot_initial,0.1,Codex (AI),2026-09-10T15:47:30+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The concise summary correctly distinguishes registrations, attendees and survey respondents, and retains the caretaker reason and next-block monitoring plan. It stays below 70 words. The separate sentence correctly says preference does not establish increased attendance and identifies missing absence evidence. The abbreviated phrase 18 attendees does not assert that all attended every session; no material defect requires correction.",
RC02-A,RC02,pilot_initial,0.1,Codex (AI),2026-09-10T15:47:30+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,Point1 gives the explicit main-light switch-off and door-note actions. Point2 clearly marks expecting a visitor as an inference and supports it with the two mugs and repeated street checks. Point3 leaves the arrival outcome unresolved. The three-point answer is under 120 words and does not invent an actual arrival or sender identity; no correction is needed.,
RC02-B,RC02,pilot_initial,0.1,Codex (AI),2026-09-10T15:47:30+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The response provides two explicit actions, a qualified expectation-of-arrival inference with the mugs and street checks as evidence, and one unresolved arrival question. The detail about leaving the entrance lamp on accurately qualifies the light-switching action. It follows the requested three points and 120-word maximum, with no material error or correction needed.",
PR01-A,PR01,pilot_initial,0.1,Codex (AI),2026-09-10T15:47:30+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"The schedule gives all five activities once in chronological order. Durations are 20,10,10,30 and15 minutes; the fixed call is 09:30–09:40, the break is 09:50–10:00, and recording fits 10:00–10:40. Equipment precedes recording and notes follow it, with no overlaps and a10:45 finish. Spare time remains unassigned. No correction is required.",
PR01-B,PR01,pilot_initial,0.1,Codex (AI),2026-09-10T15:53:13+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"All five activities are scheduled once with their required durations. The fixed call is 09:30–09:40; the break starts at its earliest permitted09:50 boundary and ends at10:00. Recording lasts30 minutes entirely within the room window; equipment precedes it and notes follow. There are no overlapping or added activities, and the10:45 finish is before11:00. The answer is correct without a replacement.",
PR02-A,PR02,pilot_initial,0.1,Codex (AI),2026-09-10T15:54:49+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"Alder and Birch satisfy the two-hour window, minimum capacity, access, Wi-Fi and budget. The reply excludes Cedar for capacity and Maple for price, and correctly asks the organiser to choose between an earlier meeting and a £10 saving. It makes no booking claim and remains under 120 words. No correction is required.",
PR02-B,PR02,pilot_initial,0.1,Codex (AI),2026-09-10T15:54:49+00:00,complete,2,2,2,2,2,10,none,,no,,no,no,"Both qualifying rooms are identified with the correct slots and prices, while the minimum capacity and other mandatory requirements are retained. Cedar and Maple are excluded for the correct reasons. The undefined best choice is handled with a targeted preference question, without pretending a booking occurred. The concise answer needs no correction.",
