revision_id,recorded_at,record_type,record_id,original_path,new_path,field,old_value,new_value,reason,decided_by
REV-001,2026-09-08T13:40:56.564666+00:00,draft_reference,RC02,03_references/pilot_references.json,03_references/pilot_references.json,expected_answer and checklist,Example supplies two unresolved matters; checklist says at least one,Example supplies one unresolved matter; checklist says one,Align example and checklist with exact prompt requirement before human verification or collection,Codex (AI)
AI-PILOT-01,2026-09-10T15:56:07+00:00,ai_annotation,MP01-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-02,2026-09-10T15:56:07+00:00,ai_annotation,MP01-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-03,2026-09-10T15:56:07+00:00,ai_annotation,MP02-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-04,2026-09-10T15:56:07+00:00,ai_annotation,MP02-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-05,2026-09-10T15:56:07+00:00,ai_annotation,CS01-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-06,2026-09-10T15:56:07+00:00,ai_annotation,CS01-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-07,2026-09-10T15:56:07+00:00,ai_annotation,CS02-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-08,2026-09-10T15:56:07+00:00,ai_annotation,CS02-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-09,2026-09-10T15:56:07+00:00,ai_annotation,RC01-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-10,2026-09-10T15:56:07+00:00,ai_annotation,RC01-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-11,2026-09-10T15:56:07+00:00,ai_annotation,RC02-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-12,2026-09-10T15:56:07+00:00,ai_annotation,RC02-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-13,2026-09-10T15:56:07+00:00,ai_annotation,PR01-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-14,2026-09-10T15:56:07+00:00,ai_annotation,PR01-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-15,2026-09-10T15:56:07+00:00,ai_annotation,PR02-A,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
AI-PILOT-16,2026-09-10T15:56:07+00:00,ai_annotation,PR02-B,05_annotations/initial/ai_pilot_2026-09-10/submitted.csv,05_annotations/ai_evaluation.csv,round/rubric version/rationale formatting,pilot_initial /0.1 /original text,final_baseline /1.0 /readable spacing,Rechecked against v1.0 anchors; all five scores and correction decisions unchanged. Cosmetic spacing in AI rationale clarified; original retained.,Codex (AI)
