task_id,reference_version,decision,reviewer,verified_at,notes
MP01,0.1,,,,
MP02,0.1,,,,
CS01,0.1,,,,
CS02,0.1,,,,
RC01,0.1,,,,
RC02,0.1,,,,
PR01,0.1,,,,
PR02,0.1,,,,
MP03,0.1,,,,
MP04,0.1,,,,
MP05,0.1,,,,
MP06,0.1,,,,
MP07,0.1,,,,
MP08,0.1,,,,
MP09,0.1,,,,
MP10,0.1,,,,
CS03,0.1,,,,
CS04,0.1,,,,
CS05,0.1,,,,
CS06,0.1,,,,
CS07,0.1,,,,
CS08,0.1,,,,
CS09,0.1,,,,
CS10,0.1,,,,
RC03,0.1,,,,
RC04,0.1,,,,
RC05,0.1,,,,
RC06,0.1,,,,
RC07,0.1,,,,
RC08,0.1,,,,
RC09,0.1,,,,
RC10,0.1,,,,
PR03,0.1,,,,
PR04,0.1,,,,
PR05,0.1,,,,
PR06,0.1,,,,
PR07,0.1,,,,
PR08,0.1,,,,
PR09,0.1,,,,
PR10,0.1,,,,
